"Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","20200324","imported_sum","volume","risk"
"Spain","ESP",81869000,82773000,1324491,1452101.81415796,155564,167988,1010,2249,3259,1,28100.8522848303,30370.8923252247,93.2678044400906,93.5290582615872,28337925349.29,7395235734.19,0,0,0,0,1,1,1,1,2,2,2,2,222,500,13910,39885,7,105819,0.782980903505756
"Estonia","EST",3244000,3234000,19698,20381,5804,5992,3,10,13,1,20337.8497289442,23266.3462718751,30.3055900621118,30.3861053600184,1422948703.89,280661854.29,0,0,0,0,0,0,0,0,0,0,0,0,2,10,258,369,0,906,0.00670371765539473
"Ethiopia","ETH",933000,849000,45308,50626,45042,51890,44,49,93,0,768.425025531532,772.313530261357,106.400024,109.224559,2652007625,347073389.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,18393,0.136094347500745
"European Union","EUU",533822000,555887200,NA,NA,NA,NA,NA,NA,NA,NA,33907.9967078218,36569.7338172336,120.837019550161,121.078194096678,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fragile and conflict affected situations","FCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1673.72900758124,1633.16563964279,38.9777705050052,39.8693125353373,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland","FIN",3180000,3224000,209568,202697,57812,57967,145,416,561,1,46191.9311557681,50152.3401411303,18.1244908031983,18.1568556480537,4847871268.21,3960712510.37,0,0,0,0,1,1,1,1,1,1,1,1,6,15,336,792,0,18797,0.13908364323229
"Fiji","FJI",843000,870000,48796,49271,4924,5078,23,32,55,0,6101.03083866498,6266.96796528074,48.0273125342091,48.3570333880679,388492157.91,47028847.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2410,0.0178321849332244
"France","FRA",86758000,89322000,2095320,2175647,493712,499160,5252,5672,10924,1,38679.1271482419,41463.6440227034,122.115405252835,122.338395739199,50807419016.77,22109385815.27,0,0,2,3,6,6,6,6,11,12,12,12,288,959,9124,22622,8,137856,1.02003057516788
"Faroe Islands","FRO",NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,34.6210586582365,34.7399698278226,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.21977405807772e-05
"Micronesia, Fed. Sts.","FSM",NA,19200,NA,NA,262,228,16,12,28,0,3289.70122265962,3568.29082936098,159.227142857143,160.914285714286,26115001,11246399.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.95969874410363e-05
"Gabon","GAB",NA,NA,NA,NA,1466,1724,1,0,1,0,7212.53574430676,7952.52589277651,8.01343967089688,8.22476423332169,320956413,2113354391.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2786,0.0206143017526818
"United Kingdom","GBR",37651000,36316000,337127,391380,590714,607846,5554,5974,11528,1,40361.4173832159,42943.9022698053,273.049472988054,274.82739222089,58926873596.62,21898847064.49,0,0,0,0,2,2,2,3,8,9,9,9,86,207,2642,8164,5,190733,1.4112805513978
"Georgia","GEO",4069400,4757000,18179,55519,11305,11796,NA,NA,NA,NA,4357.01162453036,4717.14302573577,65.2227859617201,65.2752020714511,765129856.02,215821479.75,0,0,0,0,0,0,0,0,0,0,0,0,3,4,38,70,0,3991,0.029530394219294
"Ghana","GHA",NA,NA,NA,NA,22586,22890,11,21,32,0,2025.88585713133,2202.31216442504,127.983963259207,130.821429199262,3437182129.05,1884942552.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53,0,8211,0.0607552159695873
